id	name	publications	group	initials
393	Philip Dukes	1	1	PD
394	Hartmut Wiesner	1	1	HW
395	Masa-aki Taniguchi	1	1	MT
396	Ruxandra M. Serbanescu	2	1	RMS
397	Michael Murphy	1	1	MM
398	Elizabeth Charles	3	1	EC
399	Gyoungho Lee	7	1	GL
400	Lei Bao	27	1	LB
401	Shawn Ballard	1	1	SB
402	Mojgan Matloob Haghanikar	2	1	MMH
403	Beth Hufnagel	2	1	BH
404	Elaine Seymour	0	1	ES
405	Sharon Bendall	0	1	SB
406	John E. Donovan	2	1	JED
407	Rebecca S. Lindell	12	1	RSL
408	L. A. Collins	2	1	LAC
409	Daniel Schumayer	2	1	DS
410	H. T. Hudson	1	1	HTH
411	Priscilla W. Laws	2	1	PWL
412	P. R. Fletcher	1	1	PRF
413	Andrew Boudreaux	4	1	AB
414	Laird H. Kramer	10	1	LHK
415	Bashirah Ibrahim	1	1	BI
416	David Schuster	3	1	DS
417	V. A. Nivalainen	2	1	VAN
418	Michael E. Loverude	11	1	MEL
419	Denise Plunk	2	1	DP
420	Thomas Withee	4	1	TW
421	Kara E. Gray	10	1	KEG
422	Chance Hoellwarth	1	1	CH
423	Brian Bowe	2	1	BB
424	Andrew R. Gray	2	1	ARG
425	Homeyra R. Sadaghiani	8	1	HRS
426	Robert J. Endorf	3	1	RJE
427	David P. Smith	0	1	DPS
428	Zhongzhou Chen	0	1	ZC
429	Trevor S. Volkwyn	3	1	TSV
430	Philip M. Sadler	3	1	PMS
431	John J. Clement	2	1	JJC
432	Zachary D. Hite	3	1	ZDH
433	Analia Barrantes	6	1	AB
434	H. C. Bryant	2	1	HCB
435	Aaron R. Warren	7	1	ARW
436	Sarah P. Formica	2	1	SPF
437	Gerald W. McLaughlin	2	1	GWM
438	Lauren Swanson	3	1	LS
439	Ben Van Dusen	3	1	BVD
440	R. A. Avner	3	1	RAA
441	Eric R. Murray	5	1	ERM
442	Dean Zollman	18	1	DZ
443	Caroline N. Cardamone	5	1	CNC
444	Shannon Hall	4	1	SH
445	Shelly N. Belleau	2	1	SNB
446	Adam D. Smith	2	1	ADS
447	Josip SliA!ko	0	1	JS
448	Geraldine L. Cochran	1	1	GLC
449	Rebecca Kruse	5	1	RK
450	Bruce Sherwood	10	1	BS
451	Michael Gentile	8	1	MG
452	Matthew J. Moelter	1	1	MJM
453	Lili Cui	9	1	LC
454	Andy Rundquist	0	1	AR
455	James Laverty	1	1	JL
456	James Ross	1	1	JR
457	Ana Susac	2	1	AS
458	Eric Mazur	15	1	EM
459	Azin Adjoudani	3	1	AA
460	Laura N. Walsh	2	1	LNW
461	Patricia Heller	15	1	PH
462	F. Marton	7	1	FM
463	Michael Plomer	3	1	MP
464	Kevin Varvell	5	1	KV
465	Lisa A. Scott	1	1	LAS
466	Shabbir Mian	2	1	SM
467	Hugo Alarcon	3	1	HA
468	Paula V. Engelhardt	8	1	PVE
469	Yifei Sun	0	1	YS
470	Kenneth W. Wood	0	1	KWW
471	Donatella Cassettari	5	1	DC
472	Steven Sommer	1	1	SS
473	Michael J. Ross	5	1	MJR
474	Wendell H. Potter	7	1	WHP
475	Mirko Marusic	0	1	MM
476	Daniel Barnett	1	1	DB
477	Angeles Dominguez	4	1	AD
478	Robert Talbot	4	1	RT
479	Maja Planinic	2	1	MP
480	Seth Rosenberg	0	1	SR
481	R. B. Hicks	0	1	RBH
482	Robert Loss	4	1	RL
483	Michael M. Hull	3	1	MMH
484	Laura Lising	1	1	LL
485	Beth Ann Thacker	7	1	BAT
486	Ali Eryilmaz	2	1	AE
487	Christopher M. Nakamura	6	1	CMN
488	Lincoln D. Carr	2	1	LDC
489	Omer Acar	2	1	OA
490	E. Robens	3	1	ER
491	Lucian Undreiu	2	1	LU
492	Anna Petrov	3	1	AP
493	Robin Marion	2	1	RM
494	C. M. Savage	1	1	CMS
495	Christopher Cottin	3	1	CC
496	Donald F. Holcomb	0	1	DFH
497	R. Sam Larson	3	1	RSL
498	Erica Watkins	1	1	EW
499	Dov Kaplan	2	1	DK
500	Luanna G. Ortiz	2	1	LGO
501	John Demel	2	1	JD
502	Ari Eisner	1	1	AE
503	Sapna K. Sharma	3	1	SKS
504	Andy Buffler	7	1	AB
505	Barbara Jones	1	1	BJ
506	Brian W. Adrian	2	1	BWA
507	Jessica E. Watkins	6	1	JEW
508	Chernchok Soankwan	3	1	CS
509	Karen Wosilait	3	1	KW
510	Anura Goonewardene	1	1	AG
511	Fred Goldberg	9	1	FG
512	Michael Lautman	3	1	ML
513	Elsa-Sofia Morote	1	1	EM
514	Michael Low	3	1	ML
515	Silvia Wen-Yu Lee	9	1	SWL
516	Fred Lubben	7	1	FL
517	Julia Moeller	1	1	JM
518	Mieke De Cock	0	1	MDC
519	David Maloney	4	1	DM
520	Mitchell Nathan	1	1	MN
521	Geoff Potvin	5	1	GP
522	Taha Mzoughi	6	1	TM
523	Jeffrey Marx	7	1	JM
524	G. Masters	7	1	GM
525	Mary C. Wintersgill	4	1	MCW
526	Ruth Chabay	7	1	RC
527	Elwin R. Savelsbergh	2	1	ERS
528	Randal Harrington	0	1	RH
529	Emily A. West	3	1	EAW
530	Jose M. Almudi	2	1	JMA
531	J. Barbera	3	1	JB
532	Lillian C. McDermott	17	1	LCM
533	Jukka Korkea-aho	4	1	JK
534	Doris J. Wagner	5	1	DJW
535	Stephanie A. Barr	2	1	SAB
536	Elizabeth George	2	1	EG
537	Eleanor C. Sayre	12	1	ECS
538	Tetyana Antimirova	3	1	TA
539	Stephanie V. Chasteen	6	1	SVC
540	Charles Baily	1	1	CB
541	N. H. Magee	2	1	NHM
542	Eugene Torigoe	0	1	ET
543	Katherine A. Slaughter	2	1	KAS
544	N. D. Finkelstein	31	1	NDF
545	Timothy J. McIntyre	4	1	TJM
546	David J. Ernst	5	1	DJE
547	Andrew Mason	3	1	AM
548	Jonte Bernhard	0	1	JB
549	Jenaro Guisasola	3	1	JG
550	Cat Gubernatis	2	1	CG
551	Natalia Korolkova	0	1	NK
552	Brian R. Belland	0	1	BRB
553	Rachel Moll	1	1	RM
554	L. L. Alfaro-Avena	4	1	LLA
555	Kathy Garvin-Doxas	1	1	KG
556	Walter Bisard	4	1	WB
557	Gerd Kortemeyer	5	1	GK
558	Sybillyn Jennings	2	1	SJ
559	Andrea Beach	4	1	AB
560	Nancy Mattern	4	1	NM
561	Rhett J. Allain	0	1	RJA
562	Karen Cummings	13	1	KC
563	Jyh-Chong Liang	0	1	JL
564	Mark P. Haugan	7	1	MPH
